year,group,match,team,score,shots,target,target_shots,coner kicks,possession,TPC,TPA,TPP,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPC_SPA,LPP_SPP,MPC,MPA,LPA_SPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,formation,Opponent,result
2010,G,40,Portugal,7,26,13,0.5,5,54,440,586,75,0.566666667,1.588235294,68,108,120,150,0.62962963,0.8,0.787037037,252,328,0.72,3,11,5,19,15,18,17,7,12,10,43,48,9,18,433,North Korea,w
2010,G,40,North Korea,0,15,4,0.266666667,1,46,323,461,70,0.342592593,2,37,74,108,146,0.5,0.739726027,0.675925926,178,241,0.506849315,3,12,8,23,13,20,16,4,14,10,0,60,40,3,5131,Portugal,l
2010,G,41,Portugal,0,13,3,0.230769231,4,39,275,398,69,0.852459016,1.711538462,52,89,61,8,0.584269663,7.625,0.07662553,162,220,11.125,8,16,7,31,12,13,18,5,17,4,60,10,30,11,4123,Brazil,d
2010,G,41,Brazil,0,19,5,0.263157895,7,61,596,712,84,0.5625,1.523809524,63,96,112,141,0.65625,0.794326241,0.826171875,421,475,0.680851064,3,7,3,13,15,30,18,5,7,12,31,32,37,18,433,Portugal,d
2010,G,42,North Korea,0,8,4,0.5,0,39,242,414,58,0.4875,2.333333333,39,91,80,129,0.428571429,0.620155039,0.691071429,123,194,0.705426357,7,15,4,26,11,21,18,1,16,7,25,50,25,13,541,Ivory Coast,l
2010,G,42,Ivory Coast,3,28,15,0.535714286,7,61,470,622,76,0.578125,1.445945946,74,107,128,172,0.691588785,0.744186047,0.92932243,268,343,0.622093023,4,6,3,13,14,19,21,9,8,16,25,30,45,16,4123,North Korea,w
2010,H,43,Honduras,0,7,2,0.285714286,4,43,201,347,58,0.769230769,2.425,40,97,52,72,0.412371134,0.722222222,0.570975416,109,178,1.347222222,4,15,5,24,13,18,17,4,17,7,49,13,38,15,4231,Chile,l
2010,H,43,Chile,1,20,5,0.25,6,57,383,526,73,1.3,1.703296703,91,155,70,93,0.587096774,0.752688172,0.78,222,278,1.666666667,5,12,6,23,14,22,16,6,13,6,25,25,50,21,433,Honduras,w
2010,H,44,Spain,0,24,8,0.333333333,12,63,527,683,77,1.555555556,1.330357143,112,149,72,108,0.751677852,0.666666667,1.127516779,343,426,1.37962963,3,20,10,33,14,15,12,2,21,4,0,67,33,8,4123,Switzerland,l
2010,H,44,Switzerland,1,8,3,0.375,3,37,182,318,57,0.755102041,2.351351351,37,87,49,78,0.425287356,0.628205128,0.676988037,96,153,1.115384615,3,20,10,33,14,15,12,2,21,4,0,67,33,21,442,Spain,w
2010,H,45,Chile,1,20,7,0.35,5,58,437,570,77,1.467741935,1.472527473,91,134,62,86,0.679104478,0.720930233,0.94198363,284,350,1.558139535,4,9,5,18,15,21,18,10,9,9,53,21,26,19,433,Switzerland,w
2010,H,45,Switzerland,0,7,1,0.142857143,3,42,165,296,56,0.314814815,4.588235294,17,78,54,71,0.217948718,0.76056338,0.286562203,94,147,1.098591549,5,15,9,29,9,16,17,6,16,7,40,20,40,26,442,Chile,l
2010,H,46,Spain,2,22,7,0.318181818,12,57,486,632,77,0.398305085,1.85106383,47,87,118,154,0.540229885,0.766233766,0.705045782,321,391,0.564935065,4,7,4,15,8,21,19,12,9,16,27,23,50,9,41212,Honduras,w
2010,H,46,Honduras,0,9,0,0,2,43,293,429,68,0.407407407,2.121212121,33,70,81,117,0.471428571,0.692307692,0.680952381,179,242,0.598290598,6,11,10,27,10,18,19,4,13,9,17,33,50,19,4231,Spain,l
2010,H,47,Chile,1,9,4,0.444444444,3,41,292,406,72,0.657142857,1.869565217,46,86,70,95,0.534883721,0.736842105,0.725913621,176,225,0.905263158,8,14,5,27,17,13,14,6,16,7,40,40,20,21,433,Spain,l
2010,H,47,Spain,2,9,3,0.333333333,4,59,617,734,84,0.298013245,1.622222222,45,73,151,178,0.616438356,0.848314607,0.726662433,421,483,0.41011236,2,6,5,13,14,33,23,4,6,7,62,25,13,13,4123,Chile,w
2010,H,48,Switzerland,0,17,5,0.294117647,5,56,485,611,79,0.526315789,1.84,50,92,95,115,0.543478261,0.826086957,0.657894737,340,404,0.8,4,11,5,20,16,24,16,4,12,8,28,43,29,12,442,Honduras,d
2010,H,48,Honduras,0,8,2,0.25,3,44,263,401,66,0.707692308,2.043478261,46,94,65,98,0.489361702,0.663265306,0.737806874,152,209,0.959183673,6,15,7,28,16,13,15,6,16,6,66,17,17,18,442,Switzerland,d
2010,16,49,Uruguay,2,14,8,0.571428571,3,45,268,434,62,0.661764706,2.288888889,45,103,68,99,0.436893204,0.686868687,0.636065106,155,232,1.04040404,4,11,6,21,16,15,21,5,12,10,20,10,70,12,433,South Korea,w
2010,16,49,South Korea,1,15,5,0.333333333,3,55,424,596,71,0.589285714,1.833333333,66,121,112,146,0.545454545,0.767123288,0.711038961,246,329,0.828767123,3,7,6,16,14,17,21,9,8,15,9,27,64,12,4231,Uruguay,l
2010,16,50,United States,1,20,6,0.3,5,51,381,632,60,0.564705882,2.6875,48,129,85,143,0.372093023,0.594405594,0.625991792,248,360,0.902097902,7,15,6,28,11,19,13,4,15,10,23,33,44,11,442,Ghana,l
2010,16,50,Ghana,2,16,6,0.375,4,49,451,711,63,0.794117647,1.87654321,81,152,102,167,0.532894737,0.610778443,0.87248452,268,392,0.910179641,3,10,6,19,14,19,21,5,12,10,34,33,33,19,523,United States,w
2010,16,51,Germany,4,17,7,0.411764706,4,48,273,411,66,0.711864407,1.976190476,42,83,59,97,0.506024096,0.608247423,0.831937921,172,231,0.855670103,5,11,8,24,14,15,17,8,11,11,27,40,33,7,4231,England,w
2010,16,51,England,1,19,9,0.473684211,6,52,357,508,70,0.438202247,2.384615385,39,93,89,119,0.419354839,0.74789916,0.560710402,229,296,0.781512605,5,9,5,19,19,25,14,6,10,7,33,42,25,6,442,Germany,l
2010,16,52,Argentina,3,11,6,0.545454545,2,51,380,522,73,0.419047619,1.886363636,44,83,105,141,0.530120482,0.744680851,0.711876076,231,298,0.588652482,4,12,3,19,16,20,19,6,15,5,25,50,25,11,4123,Mexico,w
2010,16,52,Mexico,1,16,6,0.375,5,49,389,522,75,0.584269663,1.653846154,52,86,89,123,0.604651163,0.723577236,0.835641495,248,313,0.699186992,3,7,5,15,13,21,20,12,8,11,28,43,29,26,433,Argentina,l
2010,16,53,Netherlands,2,16,9,0.5625,5,52,391,527,74,1.081967213,1.696969697,66,112,61,88,0.589285714,0.693181818,0.850117096,264,327,1.272727273,4,14,6,24,15,17,19,4,15,6,29,57,14,17,4231,Slovakia,w
2010,16,53,Slovakia,1,12,3,0.25,2,48,366,504,73,0.538461538,1.833333333,42,77,78,105,0.545454545,0.742857143,0.734265734,246,322,0.733333333,3,11,6,20,16,19,23,4,12,6,45,22,33,19,41212,Netherlands,l
2010,16,54,Brazil,3,17,6,0.352941176,8,50,282,451,63,0.546666667,2.243902439,41,92,75,116,0.445652174,0.646551724,0.689275362,166,243,0.793103448,3,14,5,22,14,18,15,5,16,10,25,42,33,14,41212,Chile,w
2010,16,54,Chile,0,15,3,0.2,6,50,329,507,65,0.392405063,2.612903226,31,81,79,126,0.382716049,0.626984127,0.610407876,219,300,0.642857143,3,9,4,16,11,21,17,10,11,12,24,63,13,18,433,Brazil,l
