year,group,match,team,formation,score,shots,target,fouls,coner kicks,possession,LPC,LPA,MPC,MPA,SPC,SPA,TPC,TPA,TPP,LB,CB,RB,LM,CM,RM,LF,CF,RF,LA,CA,RA,result
2014,8,59,Argentina,442,1,10,7,11,3,51,31,71,204,250,91,122,326,443,74,7,14,7,16,20,17,7,5,7,41,12,47,w
2014,8,59,Belgium,4231,0,10,4,14,4,49,42,75,221,279,88,122,351,476,74,4,11,7,17,20,17,7,8,9,28,15,57,l
2014,8,60,Netherlands,523,0,20,15,15,11,64,82,120,484,562,105,139,671,821,82,6,13,4,18,22,18,5,5,9,23,14,62,d
2014,8,60,Costa Rica,523,0,6,3,13,1,36,36,82,182,257,88,117,306,456,67,6,25,8,13,19,14,4,4,7,21,21,58,d
2014,4,61,Brazil,4231,1,18,13,11,7,52,47,85,276,317,110,145,433,547,79,6,17,4,18,20,10,11,7,8,47,16,36,l
2014,4,61,Germany,4231,7,14,12,14,5,48,56,82,323,373,104,137,483,592,82,8,16,5,15,18,16,4,8,10,24,24,53,w
2014,4,62,Netherlands,532,0,7,3,15,4,53,79,125,459,544,118,149,656,818,80,6,13,5,21,23,18,6,3,5,48,10,42,d
2014,4,62,Argentina,433,0,8,5,10,4,47,41,82,335,401,114,156,490,639,77,4,17,5,13,25,20,4,4,8,16,13,71,d
2014,3,63,Brazil,4231,0,11,5,16,4,58,38,61,325,380,119,156,482,597,81,6,13,2,16,27,17,8,4,7,33,33,35,l
2014,3,63,Netherlands,532,3,8,5,20,1,42,40,79,201,240,72,91,313,410,76,8,16,7,18,15,19,5,6,8,33,25,42,w
2014,1,64,Germany,4231,1,10,7,20,5,60,78,112,443,540,215,263,736,915,80,4,11,6,17,18,20,7,5,12,30,9,61,w
2014,1,64,Argentina,442,0,10,2,16,3,40,45,90,263,346,108,150,416,586,71,8,17,7,16,21,16,4,4,7,30,23,47,l
