year,group,match,team,score,TPP,shots,target,possession,target_shots,coner.kicks,TPC,TPA,LPC_SPC,LPP,LPC,LPA,SPC,SPA,LPC_LPA,SPP,LPP_SPP,MPC,MPA,SPA_LPA,LB,CB,RB,BACK,LM,CM,RM,LF,CF,RF,LA,CA,RA,fouls,side,formation,Opponent,side_attack,result,cluster
2010,D,23,Ghana,0,71,17,5,45,0.294117647,4,325,460,0.29787234,0.318181818,28,88,94,119,0.318181818,0.789915966,0.402804642,203,253,1.352272728,6,14,4,0.041666667,13,20,13,5,16,9,28,27,45,11,50,4123,Germany,50,l,1
2010,D,23,Germany,1,77,13,6,55,0.461538462,7,491,640,0.495412844,0.568421053,54,95,109,138,0.568421053,0.789855072,0.719652342,328,407,1.452631579,2,10,7,0.052631579,16,16,18,7,12,12,41,17,42,5,62,4231,Ghana,62,w,4
2010,D,24,Australia,2,67,17,7,45,0.411764706,5,321,481,0.718309859,0.447368421,51,114,71,103,0.447368421,0.689320388,0.648999259,199,264,0.903508772,4,19,7,0.033333333,11,13,18,4,20,4,31,23,46,25,48,4231,Serbia,48,w,1
2010,D,24,Serbia,1,72,23,6,55,0.260869565,6,418,579,0.783783784,0.522522523,58,111,74,101,0.522522523,0.732673267,0.713172632,286,367,0.90990991,4,10,5,0.052631579,13,20,23,4,11,10,15,55,30,10,59,4123,Australia,59,l,4
2010,E,25,Netherlands,2,80,18,7,58,0.388888889,6,460,576,0.479591837,0.474747475,47,99,98,122,0.474747475,0.803278689,0.591012162,315,355,1.232323232,2,12,3,0.058823529,15,21,20,7,14,6,35,36,29,13,53,4231,Denmark,53,w,4
2010,E,25,Denmark,0,67,10,3,42,0.3,2,252,374,0.697674419,0.4,30,75,43,70,0.4,0.614285714,0.651162791,179,229,0.933333334,8,19,7,0.029411765,14,16,11,3,20,4,66,17,17,20,47,442,Netherlands,47,l,1
2010,E,26,Japan,1,59,5,5,44,1,0,230,389,0.36,0.27,27,100,75,93,0.27,0.806451613,0.3348,128,196,0.93,3,14,11,0.035714286,7,10,28,1,15,11,0,40,60,20,61,4141,Cameroon,61,w,2
2010,E,26,Cameroon,0,71,11,4,56,0.363636364,3,341,481,0.697368421,0.420634921,53,126,76,96,0.420634921,0.791666667,0.531328321,212,259,0.761904762,5,12,8,0.04,11,21,16,6,13,8,37,13,50,29,54,433,Japan,54,l,2
2010,E,27,Netherlands,1,77,9,5,61,0.555555556,4,517,668,0.986111111,0.581967213,71,122,72,97,0.581967213,0.742268041,0.784039162,374,449,0.795081967,4,11,4,0.052631579,19,20,18,3,13,6,25,50,25,18,54,4231,Japan,54,w,2
2010,E,27,Japan,0,64,10,3,39,0.3,5,259,406,0.603448276,0.492957746,35,71,58,94,0.492957746,0.617021277,0.79893152,166,241,1.323943662,3,11,9,0.043478261,9,20,22,6,12,6,25,25,50,11,55,4123,Netherlands,55,l,3
2010,E,28,Cameroon,1,77,23,8,54,0.347826087,7,429,559,0.725,0.597938144,58,97,80,107,0.597938144,0.747663551,0.799742268,291,355,1.103092784,3,8,3,0.071428571,12,21,17,9,10,17,34,33,33,9,61,442,Denmark,61,l,4
2010,E,28,Denmark,2,72,13,6,46,0.461538462,2,319,444,0.876923077,0.57,57,100,65,93,0.57,0.698924731,0.815538462,197,251,0.93,5,13,4,0.045454545,18,17,19,2,14,8,10,30,60,12,56,4231,Cameroon,56,w,2
2010,E,29,Denmark,1,78,19,7,56,0.368421053,7,464,592,0.952380952,0.634920635,80,126,84,110,0.634920635,0.763636364,0.831443689,300,356,0.873015873,8,11,2,0.047619048,14,22,17,5,12,9,23,33,44,23,55,4321,Japan,55,l,2
