"year","group","match","team","score","TPP","possession","target_shots","BACK","SMPC_TPC","fouls","side","side_attack","LB","CB","RB","LM","CM","RM","LF","CF","RF","LA","CA","RA","formation","Opponent","result","cluster"
2010,"F",31,"Italy",1,70,52,0.5,0.052631579,0.87587822,15,65,65,4,9,6,15,16,19,11,10,10,72,21,7,"4231","Paraguay","d",3
2010,"F",31,"Paraguay",1,63,48,0.125,0.037037037,0.866666667,15,52,52,6,14,7,20,19,13,3,15,3,29,0,71,"4132","Italy","d",4
2010,"F",32,"New Zealand",1,68,52,0.25,0.045454545,0.772727273,17,55,55,5,12,5,16,19,23,4,14,2,100,0,0,"433","Slovakia","d",4
2010,"F",32,"Slovakia",1,61,48,0.230769231,0.038461538,0.782258065,15,51,51,3,17,6,12,15,22,2,19,6,45,33,22,"4132","New Zealand","d",4
2010,"F",33,"Slovakia",0,70,51,0.166666667,0.032258065,0.860606061,14,50,50,4,17,10,11,16,16,4,19,5,0,50,50,"442","Paraguay","l",4
2010,"F",33,"Paraguay",2,67,49,0.454545455,0.052631579,0.844155844,18,58,58,2,11,6,17,19,16,8,12,9,33,25,42,"433","Slovakia","w",3
2010,"F",34,"Italy",1,75,57,0.304347826,0.066666667,0.870892019,11,61,61,3,8,4,15,22,17,9,9,13,20,35,45,"442","New Zealand","d",2
2010,"F",34,"New Zealand",1,52,43,0.333333333,0.03030303,0.833333333,25,49,49,7,18,8,16,15,13,4,20,1,50,50,0,"433","Italy","d",4
2010,"F",35,"Slovakia",3,69,50,0.333333333,0.041666667,0.852739726,20,62,62,3,12,9,15,14,19,7,12,9,50,10,40,"442","Cameroon","w",3
2010,"F",35,"Italy",2,75,50,0.375,0.038461538,0.89373297,17,59,59,5,12,9,18,16,12,9,13,6,24,29,47,"4123","Slovakia","l",3
2010,"F",36,"Paraguay",0,76,57,0.294117647,0.066666667,0.867881549,13,55,55,2,10,3,22,22,17,7,13,4,50,20,30,"4321","New Zealand","d",1
2010,"F",36,"New Zealand",0,76,43,0,0.032258065,0.867881549,19,63,63,6,14,11,10,9,29,1,14,6,50,0,50,"3421","Paraguay","d",3
2010,"G",37,"Ivory Coast",0,76,49,0.2,0.071428571,0.908571429,18,60,60,3,9,2,17,20,16,11,11,11,42,29,29,"4123","Portugal","d",2
2010,"G",37,"Portugal",0,76,51,0.285714286,0.052631579,0.908571429,13,49,49,3,11,5,16,27,19,2,13,4,20,0,80,"4123","Ivory Coast","d",1
2010,"G",38,"Brazil",2,83,63,0.384615385,0.083333333,0.882352941,9,65,65,3,5,4,15,22,20,9,8,14,27,26,47,"41212","North Korea","w",2
2010,"G",38,"North Korea",1,66,37,0.272727273,0.034482759,0.887029289,10,54,54,8,15,6,13,18,20,3,16,4,22,56,22,"433","Brazil","l",4
